,Title,Perusahaan,Lokasi,Gaji,Deskripsi
1,IT SUPPORT,Multimedia Lestari Sukses. PT,Jakarta Utara,IDR 4.000.000 – 6.000.000,Tanggung Jawab Pekerjaan : – Membantu dan mengatasi masalah baik dalam sistem jaringan serta peralatan IT lainnya – Mematuhi SOP yang berlak...
2,IT Data Engineer/desktop Support,Vajiro Mulia Gemilang PT,Jakarta Raya,Gaji Dirahasiakan,-
3,IT SUPPORT,Sinergi Adhikarya Semesta PT,Jakarta Raya,Gaji Dirahasiakan,"Menginstal dan mengkonfigurasi perangkat keras komputer, perangkat lunak, sistem, jaringan, printer. Memantau dan memelihara sistem dan jaringa..."
4,IT Support / Data Entry,Kinarya Alihdaya Mandiri PT,Jakarta Selatan,Gaji Dirahasiakan,"Mengerjakan hal yang berhungan dengan Database ddan administrasi Pengolahan data atau Data Entry menggunakan rumus (Excel) Hlookup , vlookupp,..."
5,IT SUPPORT STAFF,Sun Precision Engineering Indonesia PT,Batam,Gaji Dirahasiakan,"Perform computer installation, both of software and hardware or other IT equipment such as printer, scanner, etc Perform computer and network t..."
6,IT SUPPORT,Sapta Sarana Sejahtera PT,Gresik,IDR 6.000.000 – 7.000.000,"Job Purpose Responsible for the technical support of Computer System for Gresik Site, with possibility to be extended to support other s..."
7,TECHINAL IT SUPPORT,Leading Garment Industries PT,Bandung,Gaji Dirahasiakan,Menguasai teknologi jaringan dan troubleshooting hardware dan software. Membantu Supervisor dalam mensupport seluruh tim MIS meningkatkan c...
8,IT SUPPORT,Sisesa Pramono Amanah PT,Jakarta Raya,Gaji Dirahasiakan,"Skill yang dibutuhkan: Problem Solving, Analytical Thinking, Programming, Data Management, Trouble Shooting (hardware, software, jaringan/networ..."
9,IT SUPPORT,Vajiro Mulia Gemilang PT,Jakarta Raya,Gaji Dirahasiakan,"Pria, usia maksimum 30 tahun Pendidikan minimum D3 dengan IPK minimal 2,75 D3/S1 Komputer Fresh Graduated/Berpengalaman diperusahaan yang men..."
10,Staff IT Support & Networking,Hokinda Citralestari PT,Binjai dan 1 kota lainnya,Gaji Dirahasiakan,Membuat jadwal dan melakukan perawatan pada hardware dan jaringan Memperbaiki perangkat hardware dan jaringan yang rusak Melakukan monitoring ...
11,IT SUPPORT,Mulya Kencana Metalindo PT,Bandung,Gaji Dirahasiakan,"JOB DESCRIPTION: Bertanggung jawab untuk instalasi, evaluasi, dan peningkatan terhadap komputer, software dan pengembangan sistem jaringan ..."
12,Supervisor IT Support & Networking,Hokinda Citralestari PT,Binjai dan 1 kota lainnya,Gaji Dirahasiakan,Menjaga keamanan dan kerahasiaan data elektronik perusahaan Melakukan pengontrolan hak akses user Memastikan zero-downtime pada server dan jar...
13,IT Technical Support,Talenta Sumber Daya Manusia PT,Jakarta Raya,Gaji Dirahasiakan,S1 Computer Engineering / Computer Science Freshgraduate or 1 year experience as IT Technical Support / IT Infrastructure / System Administ...
14,IT SUPPORT,Perusahaan Rahasia,Bangkalan dan 4 kota lainnya,IDR 3.000.000 – 6.000.000,"Laki - Laki & Perempuan Usia minimal 18 tahun, usia maksimal 50 tahun Ijazah minimal SMA/SMK Fresh Graduate Penempatan Surabaya"
